search_term,text,href,company_text,location_text,datetime,time_ago
Data-Analyst,DATA ANALYST STAFF,https://www.jobstreet.co.id/en/job/data-analyst-staff-4495723,PT Bussan Auto Finance (BAF),Jakarta Selatan,2023-10-11 06:43:56,25d ago
Data-Analyst,Digital Data Analyst Supervisor,https://www.jobstreet.co.id/en/job/digital-data-analyst-supervisor-4496237,PT Santos Jaya Abadi,Jakarta Pusat,2023-10-11 09:42:06,25d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-4495138,PT Panca Budi Pratama,Banten,2023-10-11 02:12:39,25d ago
Data-Analyst,Junior Instruktur Data Analyst,https://www.jobstreet.co.id/en/job/junior-instruktur-data-analyst-1037213568,PT Inixindo Amiete Mandiri,Bandung,2023-10-17 16:00:00,19d ago
Data-Analyst,Product Operations Data Analyst,https://www.jobstreet.co.id/en/job/product-operations-data-analyst-4494878,PT Global Unggul Mandiri (Paxel),Jakarta Raya,2023-10-10 10:13:19,26d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-4494320,Yayasan Bina Nusantara,Jakarta Barat,2023-10-10 06:33:48,26d ago
Data-Analyst,Area Data Analyst (Medan),https://www.jobstreet.co.id/en/job/area-data-analyst-medan-4493391,Danone Indonesia,Medan,2023-10-09 09:53:38,27d ago
Data-Analyst,Team Leader Data Analyst (Mandarin Speaker - Area Solo),https://www.jobstreet.co.id/en/job/team-leader-data-analyst-mandarin-speaker-area-solo-4492459,PT Global Jet Express,Surakarta,2023-10-09 03:16:23,27d ago
Data-Analyst,Trade Marketing Analyst,https://www.jobstreet.co.id/en/job/trade-marketing-analyst-4493307,PT Penguin Indonesia,Jakarta Utara,2023-10-09 09:25:29,27d ago
Data-Analyst,Sales Analyst,https://www.jobstreet.co.id/en/job/sales-analyst-4492742,PT Aditya Sarana Graha,Jakarta Selatan,2023-10-09 04:58:48,27d ago
Data-Analyst,Senior Business Analyst,https://www.jobstreet.co.id/en/job/senior-business-analyst-4499676,PT Elnusa Tbk,Jakarta Selatan,2023-10-16 03:48:55,20d ago
Data-Analyst,IT Engineer,https://www.jobstreet.co.id/en/job/it-engineer-4503044,PT Solusi Energy Nusantara (JAKARTA),Pekanbaru,2023-10-18 07:52:52,18d ago
Data-Analyst,GA System Officer,https://www.jobstreet.co.id/en/job/ga-system-officer-4502726,PT Nusantara Sejahtera Raya Tbk (Cinema XXI),Jakarta Raya,2023-10-18 05:03:24,18d ago
Data-Analyst,DATA ANALIS,https://www.jobstreet.co.id/en/job/data-analis-4500915,PT Tera Achiever,Jakarta Utara,2023-10-17 02:15:09,19d ago
Data-Analyst,Machine Learning Staff - IT Consulting (Remote Work) (A-85456),https://www.jobstreet.co.id/en/job/machine-learning-staff-it-consulting-remote-work-a-85456-4498221,RGF HR Agent Indonesia,Jawa Tengah,2023-10-13 04:50:50,23d ago
Data-Analyst,Warehouse Admin,https://www.jobstreet.co.id/en/job/warehouse-admin-4497534,PT Sinde Budi Sentosa,Jakarta Pusat,2023-10-12 09:33:37,24d ago
Data-Analyst,IT Business Analyst,https://www.jobstreet.co.id/en/job/it-business-analyst-4496538,PT Mega Niaga Sejahtera,Bekasi,2023-10-12 01:31:25,24d ago
Data-Analyst,Senior HR Analyst,https://www.jobstreet.co.id/en/job/senior-hr-analyst-4493456,PT Indo Partners Plantation Services,Bogor,2023-10-09 10:20:25,27d ago
Data-Analyst,Reconcile E-Commerce Staff,https://www.jobstreet.co.id/en/job/reconcile-e-commerce-staff-4494667,PT Mandiri Tunas Finance,Jakarta Pusat,2023-10-10 08:46:28,26d ago
Data-Analyst,Senior Data Engineer,https://www.jobstreet.co.id/en/job/senior-data-engineer-4494314,Yayasan Bina Nusantara,Jakarta Raya,2023-10-10 06:31:28,26d ago
Data-Analyst,Partner Success Manager (for GetPlus),https://www.jobstreet.co.id/en/job/partner-success-manager-for-getplus-4494747,PT Merah Cipta Media,Jakarta Barat,2023-10-10 09:14:52,26d ago
Data-Analyst,Purchasing Analyst,https://www.jobstreet.co.id/en/job/purchasing-analyst-4492355,PT Intim Harmonis Foods Industri (INAFOOD),Jakarta Barat,2023-10-09 02:43:06,27d ago
Data-Analyst,Supervisor Administrasi (PIC Brand),https://www.jobstreet.co.id/en/job/supervisor-administrasi-pic-brand-4491844,CV Setia Agung Pratama,Pasuruan,2023-10-07 04:24:59,29d ago
Data-Analyst,Digital Marketing,https://www.jobstreet.co.id/en/job/digital-marketing-1037219625,PT mitra muda sejati,Jawa Timur,2023-10-18 16:00:00,18d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-1037328584,PT Indofood Sukses Makmur Tbk (Divisi Bogasari),Jakarta Selatan,2023-11-03 16:00:00,2d ago
Data-Analyst,Data Analyst,https://www.jobstreet.co.id/en/job/data-analyst-1037328932,PT Pasifik Satelit Nusantara,Indonesia,2023-11-03 16:00:00,2d ago
Data-Analyst,MARKET DATA ANALYSIS OFFICER,https://www.jobstreet.co.id/en/job/market-data-analysis-officer-1037316961,"PT Mulia Industrindo, Tbk",Cikarang,2023-11-01 16:00:00,4d ago
Data-Analyst,Data Analyst Intern,https://www.jobstreet.co.id/en/job/data-analyst-intern-1037308625,PT Qiscus Tekno Indonesia,Yogyakarta,2023-10-31 16:00:00,5d ago
Data-Analyst,sales data analyst,https://www.jobstreet.co.id/en/job/sales-data-analyst-1037284663,PT Wisnu Ananda Jaya,Jakarta Selatan,2023-10-28 16:00:00,8d ago
Data-Analyst,Internship - Quantitative Data Analyst,https://www.jobstreet.co.id/en/job/internship-quantitative-data-analyst-1037284673,DT Global,Jakarta Raya,2023-10-28 16:00:00,8d ago
